id,title,publication_date,publisher,category,score,last_read_date,writer,artist,editor,comment
1,Absolute Carnage,2020-08-01,,,,2022-01-22,,,,
2,Action Comics,2022-05-28,,,,,,,,
3,Action Comics,2022-06-26,,,,,,,,
4,Action Comics,2022-07-23,,,,,,,,
5,Action Comics,2022-08-23,DC,,3,2022-11-23,,,,"Warworld Revolution: Part 4; A World Without Clark Kent, Part 3. No idea what's going on."
6,Action Comics,2023-09-27,DC,,4,2022-12-17,,,,Kal-el Returns Part 1; Red Moon Part 1. Kal-el has amazing art and good writing with the right tempo.
7,Action Comics,2022-10-25,DC,,3,2022-12-17,,,,Kal-el Returns Part 3
8,Action Comics,2022-11-22,DC,,2,2022-12-17,,,,"Kal-el Returns Part 5; not feeling the art, plot all over the place"
9,Action Comics,2022-12-27,DC,,5,2023-01-13,,,,
10,Action Comics,2023-01-24,DC,,4,2023-04-15,,,,
11,Action Comics,2023-02-28,DC,,4,2023-04-26,,,,
12,Action Comics,2023-03-28,,,4,2023-04-26,,,,
13,Adventures of Superman - Jon Kent,,,,4,2023-04-23,,,,
14,Adventures of Superman - Jon Kent,,,,4,2023-04-23,,,,
15,Age of X-Man Alpha (2019),2019-01-30,,,4,2022-02-22,,,,
16,Age of X-Man: Apocalypse & the X-tracts (2019),,,,3,2022-02-23,,,,
17,Age of X-Man: Apocalypse & the X-tracts (2019),,,,2,2022-03-12,,,,
18,Age of X-Man: Nextgen (2019),,,,4,2022-03-01,,,,
19,Age of X-Man: The Amazing Nightcrawler (2019),,,,2,2022-02-22,,,,
20,Age of X-Man: The Amazing Nightcrawler (2019),,,,3,2022-03-01,,,,
21,Age of X-Man: The Marvelous X-Men (2019),,,,2,2022-02-22,,,,
22,Age of X-Man: The Marvelous X-Men (2019),,,,2,2022-02-23,,,,
23,Age of X-Man: The Marvelous X-Men (2019),,,,2,2022-03-12,,,,
24,Alien (2022),2022-09-07,Marvel,,3,2022-12-15,,,,
25,Alien (2022),,Marvel,,3,2022-12-15,,,,
26,Alien (2022),,Marvel,,3,2022-12-15,,,,
27,Alien (2022),,Marvel,,3,2023-01-02,,,,
28,Alien (2022),,Marvel,,2,2023-01-28,,,,
29,Alien (2022),,Marvel,,2,2023-04-14,,,,
30,Alpha Flight (1983),,,,3,2022-01-29,,,,
31,Alpha Flight (1983),1983-09-10,,,3,2022-09-04,,,,Czyta się przyjemnie
32,Alpha Flight (1983),1983-10-10,,,3,2022-09-04,,,,Czyta się przyjemnie
33,Alpha Flight (1983),1983-11-10,,,3,2022-09-05,,,,
34,Alpha Flight (1983),1983-12-10,,,4,2022-09-11,,,,
35,Alpha Flight (1983),1984-01-10,,,1,2022-09-12,,,,
36,Alpha Flight (1983),1984-02-10,,,2,2022-09-24,,,,
37,Alpha Flight (1983),1984-03-10,,,3,2022-09-24,,,,
38,Alpha Flight (1983),1984-04-10,,,3,2022-09-24,,,,
39,Alpha Flight (1983),1984-05-10,,,3,2022-09-24,,,,
40,Alpha Flight (1983),1984-06-10,,,3,2022-09-24,,,,Sasquatch origins.
41,Alpha Flight (1983),1984-07-10,,,4,2022-09-25,,,,Śmierć Guardiana
42,Alpha Flight (1983),1984-08-10,,,3,2022-09-25,,,,
43,Alpha Flight (1983),1984-09-10,,,3,2022-09-25,,,,Puck i podwodny potwór
44,Alpha Flight (1983),1984-10-10,,,3,2022-09-26,,,,
45,Alpha Flight (1983),1984-11-10,,,4,2022-10-01,,,,
46,Alpha Flight (1983),1984-12-10,,,2,2022-10-01,,,,
47,Alpha Flight (1983),1985-01-10,,,3,2022-10-02,,,,
48,Alpha Flight (1983),1985-02-10,,,3,2022-10-02,,,,
49,Alpha Flight (1983),1985-03-10,,,3,2022-10-02,,,,
50,Alpha Flight (1983),1985-04-10,,,4,2022-10-02,,,,
51,Alpha Flight (1983),1985-05-10,,,2,2022-10-02,,,,
52,Alpha Flight (1983),1985-06-10,,,4,2022-10-03,,,,
53,Alpha Flight (1983),1985-07-10,,,4,2022-10-03,,,,
54,Alpha Flight (1983),1985-08-10,,,3,2022-10-03,,,,
55,Avengers (2012),,,,,2022-02-06,,,,
56,Batman,2022-07-05,,,5,2023-01-13,,,,
57,Batman,2022-07-02,DC,,4,2022-11-24,,,,
58,Batman,2022-09-06,DC,,4,2022-11-24,,,,
59,Batman,2022-10-05,DC,,4,2022-11-25,,,,
60,Batman,2022-11-02,DC,,4,2022-11-25,,,,
